"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.138.158","108.168.211.93","TCP","66","51552  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"2","0.092101","108.168.211.93","192.168.138.158","TCP","60","80  >  51552 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"3","0.130232","192.168.138.158","108.168.211.93","TCP","60","51552  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.133335","192.168.138.158","108.168.211.93","HTTP","792","GET /forums/61-general-discussions/ HTTP/1.1 "
"5","0.133406","108.168.211.93","192.168.138.158","TCP","60","80  >  51552 [ACK] Seq=1 Ack=739 Win=64240 Len=0"
"6","2.542354","108.168.211.93","192.168.138.158","TCP","1409","80  >  51552 [PSH, ACK] Seq=1 Ack=739 Win=64240 Len=1355 [TCP segment of a reassembled PDU]"
"7","2.542988","108.168.211.93","192.168.138.158","TCP","1409","80  >  51552 [PSH, ACK] Seq=1356 Ack=739 Win=64240 Len=1355 [TCP segment of a reassembled PDU]"
"8","2.543121","108.168.211.93","192.168.138.158","TCP","1514","80  >  51552 [ACK] Seq=2711 Ack=739 Win=64240 Len=1460 [TCP segment of a reassembled PDU]"
"9","2.543132","192.168.138.158","108.168.211.93","TCP","60","51552  >  80 [ACK] Seq=739 Ack=2711 Win=64240 Len=0"
"10","2.543136","108.168.211.93","192.168.138.158","TCP","129","80  >  51552 [PSH, ACK] Seq=4171 Ack=739 Win=64240 Len=75 [TCP segment of a reassembled PDU]"
"11","2.543417","108.168.211.93","192.168.138.158","TCP","1514","80  >  51552 [ACK] Seq=4246 Ack=739 Win=64240 Len=1460 [TCP segment of a reassembled PDU]"
"12","2.543429","192.168.138.158","108.168.211.93","TCP","60","51552  >  80 [ACK] Seq=739 Ack=4246 Win=64240 Len=0"
"13","2.543431","108.168.211.93","192.168.138.158","TCP","594","80  >  51552 [PSH, ACK] Seq=5706 Ack=739 Win=64240 Len=540 [TCP segment of a reassembled PDU]"
