"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"2","0.003202","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"3","0.004858","192.168.137.113","224.0.0.252","LLMNR","72","Standard query 0xea7b ANY Pertruide-PC"
"4","0.065139","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<00>"
"5","0.065286","192.168.137.113","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"6","0.065431","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<20>"
"7","0.095812","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"8","0.111548","192.168.137.113","224.0.0.252","LLMNR","72","Standard query 0xea7b ANY Pertruide-PC"
"9","0.261891","192.168.137.113","192.168.137.1","DNS","91","Standard query 0x5999 SRV _ldap._tcp.dc._msdcs.mshome.net"
"10","0.262249","192.168.137.1","192.168.137.113","DNS","91","Standard query response 0x5999 No such name SRV _ldap._tcp.dc._msdcs.mshome.net"
"11","0.263955","192.168.137.113","192.168.137.1","DNS","91","Standard query 0x9f77 SRV _ldap._tcp.dc._msdcs.mshome.net"
"12","0.264186","192.168.137.1","192.168.137.113","DNS","91","Standard query response 0x9f77 No such name SRV _ldap._tcp.dc._msdcs.mshome.net"
"13","0.829076","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<20>"
"14","0.829126","192.168.137.113","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"15","0.829128","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<00>"
"16","1.593482","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<00>"
"17","1.593525","192.168.137.113","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"18","1.593526","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<20>"
"19","2.357898","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<20>"
"20","2.357958","192.168.137.113","192.168.137.255","NBNS","110","Registration NB WORKGROUP<00>"
"21","2.357960","192.168.137.113","192.168.137.255","NBNS","110","Registration NB PERTRUIDE-PC<00>"
"22","3.109921","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"23","3.112326","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"24","3.112737","192.168.137.113","224.0.0.252","LLMNR","72","Standard query 0x21ee ANY Pertruide-PC"
"25","3.216020","192.168.137.113","224.0.0.252","LLMNR","72","Standard query 0x21ee ANY Pertruide-PC"
"26","3.605894","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"27","4.881271","192.168.137.113","192.168.137.1","DNS","77","Standard query 0xd328 A isatap.mshome.net"
"28","4.881632","192.168.137.1","192.168.137.113","DNS","77","Standard query response 0xd328 No such name A isatap.mshome.net"
"29","6.893522","192.168.137.113","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x524b15ab"
"30","6.903699","192.168.137.113","192.168.137.1","DNS","75","Standard query 0xc410 A wpad.mshome.net"
"31","6.903987","192.168.137.1","192.168.137.113","DNS","75","Standard query response 0xc410 No such name A wpad.mshome.net"
"32","6.904431","192.168.137.113","224.0.0.252","LLMNR","64","Standard query 0xf219 A wpad"
"33","6.999269","192.168.137.113","224.0.0.252","LLMNR","64","Standard query 0xf219 A wpad"
"34","7.199456","192.168.137.113","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"35","7.949226","192.168.137.113","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"36","8.699238","192.168.137.113","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
"37","9.451067","192.168.137.113","192.168.137.1","DNS","76","Standard query 0xdaf2 A www.msftncsi.com"
"38","10.449272","192.168.137.113","192.168.137.1","DNS","76","Standard query 0xdaf2 A www.msftncsi.com"
"39","11.464275","192.168.137.113","192.168.137.1","DNS","76","Standard query 0xdaf2 A www.msftncsi.com"
"40","13.389341","192.168.137.1","192.168.137.113","DNS","181","Standard query response 0xdaf2 A www.msftncsi.com CNAME www.msftncsi.com.edgesuite.net CNAME a1961.g.akamai.net A 190.98.140.10 A 190.98.140.16"
"41","13.391104","192.168.137.113","190.98.140.10","TCP","66","49157  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"42","14.235045","190.98.140.10","192.168.137.113","TCP","66","80  >  49157 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1367 SACK_PERM=1 WS=32"
"43","14.235172","192.168.137.113","190.98.140.10","TCP","60","49157  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"44","14.235304","192.168.137.113","190.98.140.10","HTTP","151","GET /ncsi.txt HTTP/1.1 "
"45","15.140395","190.98.140.10","192.168.137.113","TCP","54","80  >  49157 [ACK] Seq=1 Ack=98 Win=14624 Len=0"
"46","15.478076","190.98.140.10","192.168.137.113","HTTP","233","HTTP/1.1 200 OK  (text/plain)"
"47","15.478128","190.98.140.10","192.168.137.113","TCP","54","80  >  49157 [FIN, ACK] Seq=180 Ack=98 Win=14624 Len=0"
"48","15.478224","192.168.137.113","190.98.140.10","TCP","60","49157  >  80 [ACK] Seq=98 Ack=181 Win=65280 Len=0"
"49","15.478291","192.168.137.113","190.98.140.10","TCP","60","49157  >  80 [FIN, ACK] Seq=98 Ack=181 Win=65280 Len=0"
"50","15.993785","190.98.140.10","192.168.137.113","TCP","54","80  >  49157 [ACK] Seq=181 Ack=99 Win=14624 Len=0"
"51","300.123252","192.168.137.113","192.168.137.1","DHCP","350","DHCP Request  - Transaction ID 0xae56e217"
"52","300.147573","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"53","300.154619","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"54","300.155184","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"55","300.160702","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"56","300.162610","192.168.137.113","224.0.0.252","LLMNR","72","Standard query 0x6eb0 ANY Pertruide-PC"
"57","300.257817","192.168.137.113","224.0.0.252","LLMNR","72","Standard query 0x6eb0 ANY Pertruide-PC"
"58","300.600865","192.168.137.113","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"59","306.858313","192.168.137.113","192.168.137.1","DNS","75","Standard query 0xa4d5 A wpad.mshome.net"
"60","306.858691","192.168.137.1","192.168.137.113","DNS","75","Standard query response 0xa4d5 No such name A wpad.mshome.net"
"61","306.859643","192.168.137.113","224.0.0.252","LLMNR","64","Standard query 0x478d A wpad"
"62","306.864549","192.168.137.113","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x1754b0a2"
"63","306.916836","192.168.137.113","192.168.137.1","DNS","88","Standard query 0x3a98 A javadl-esd-secure.oracle.com"
"64","306.966052","192.168.137.113","224.0.0.252","LLMNR","64","Standard query 0x478d A wpad"
"65","307.169214","192.168.137.113","192.168.137.255","NBNS","92","Name query NB WPAD<00>"
